NAME,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA:  I.H.S. OFFICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal and Tribal PRC Program:,FY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CATEGORY:, SERVICE UNIT-FEDERAL and TRIBAL PROGRAMS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALASKA,,,ALBUQUERQUE,,,BEMIDJI,,,BILLING,,,CALIFORNIA,,,GREAT PLAINS,,,NASHVILLE,,,NAVAJO,,,OKLAHOMA,,,PHOENIX,,,PORTLAND,,,TUCSON,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , 320 , -   , -   , -   , 320 , 320 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , 6 , -   , -   , -   , 6 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   , -   , -   , -   , 3 , -   , -   , -   , 3 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , 120 , -   , -   , -   , 120 , 120 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , 9 , -   , -   , -   , 9 , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Physical Therapy, -   , -   , -   , -   , -   , 790 , -   , -   , -   , 790 , 790 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Pap Smears, -   , -   , -   , -   , -   , 90 , -   , -   , -   , 90 , 90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   , -   , -   , -   , 962 , -   , -   , -   , 962 , 962 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   , -   , -   , 128 , -   , -   , -   , 128 , 128 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Other (State Type Below), -   , -   , -   , -   , -   , -   , 82 , -   , -   , 82 , 82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     TOTAL, -   , -   , -   , -   , -   ," 2,613 ", 82 , -   , -   ," 2,695 "," 2,695 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other (Explanations):  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Diabetic Shoes and Inserts - 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Ensure Diet Supplement - 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucson Area Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3A,PRC Deferrals - Preventive Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,Federal PRC Programs,,,Tribal PRC Programs,,,Tribal Sub Total,I.H.S. Offices TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(b) (6) ,(b) (6) ,Federal Sub Total,(b) (6) ,(b) (6) ,(b) (6) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Audiology Evaluations and Hearing Aids , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Allergy Testing, Injections, etc.", -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Antenatal screening , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Dental Hygiene (Teeth Cleaning), -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Family Planning Services: Vasectomies, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Planning Services: Tubal Ligations, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Mammograms, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Podiatry Care for Diabetics, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Physical Therapy, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Pap Smears, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10. Refractions, Glasses, Contact Lenses", -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Sexually Transmitted Disease Services, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Other (State Type Below), -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     TOTAL, -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
